Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
es ESP,Diego Martín,FW,Las Palmas,40,0.4,0,0,0.0,0.0,1,2,5,1,0,53.3,0,0,1,1,0,1,1,19,0,,10,12,0
es ESP,Gerard Martín,DF,Barcelona,1038,11.5,1,3,0.5,1.1,10,40,122,7,2,83.1,12,16,22,10,13,35,27,909,4,36.4,413,586,14
es ESP,Iván Martín,MF,Girona,2039,22.7,1,1,1.8,1.9,57,131,76,11,3,90.2,22,15,32,19,11,43,15,1577,25,53.2,1044,1264,21
es ESP,Jon Martin,DF,Real Sociedad,904,10.0,0,1,0.6,0.2,4,34,0,9,1,86.8,4,2,11,9,7,18,80,677,0,,375,432,20
fr FRA,Jonas Martin,MF,Brest,496,5.5,1,0,0.4,0.3,8,21,9,3,1,88.8,3,3,13,7,8,21,12,369,2,50.0,169,254,7
es ESP,Mario Martín,MF,Valladolid,1748,19.4,0,1,1.8,1.4,18,66,22,28,13,84.5,12,3,62,32,21,83,46,1083,19,50.0,558,673,50
br BRA,Gabriel Martinelli,"FW,MF",Arsenal,2290,25.4,8,4,7.4,5.0,124,52,289,55,24,71.4,40,37,23,15,5,28,19,994,33,30.3,670,752,16
es ESP,Arnau Martinez,"DF,MF",Girona,2624,29.2,2,2,1.2,2.2,41,162,102,19,6,86.4,18,14,51,28,31,82,76,2108,20,54.1,1183,1402,20
ar ARG,Emiliano Martínez,GK,Aston Villa,3194,35.5,0,0,0.0,0.5,0,4,0,0,0,78.7,2,0,3,3,0,3,17,1449,1,100.0,889,784,2
es ESP,Iñigo Martínez,DF,Barcelona,2490,27.7,0,4,0.5,2.6,70,260,11,13,2,91.0,16,9,25,14,18,43,108,2652,3,100.0,1711,2003,18
es ESP,Javi Martínez,MF,Osasuna,6,0.1,0,0,0.0,0.0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,10,0,,6,10,0
es ESP,Josep Martinez,GK,Inter,450,5.0,0,0,0.0,0.1,0,0,0,0,0,85.5,1,0,0,0,0,0,0,246,0,,176,179,0
ar ARG,Lautaro Martínez,FW,Inter,2474,27.5,12,3,13.5,4.3,34,68,197,99,33,74.4,36,22,30,16,10,40,15,981,17,36.2,625,754,41
ar ARG,Lisandro Martínez,DF,Manchester Utd,1751,19.5,2,1,1.3,1.1,23,117,7,17,6,89.4,9,18,40,24,32,72,57,1524,6,85.7,1017,1069,22
ar ARG,Lucas Martínez Quarta,DF,Fiorentina,351,3.9,1,0,0.7,0.0,3,14,2,3,1,88.6,1,0,12,7,3,15,25,316,2,100.0,181,208,8
es ESP,Ramón Martínez,DF,Sevilla,261,2.9,1,0,0.3,0.1,1,5,2,4,3,91.5,1,0,6,3,2,8,23,167,1,100.0,85,108,1
es ESP,Toni Martínez,FW,Alavés,1012,11.2,4,0,3.6,0.6,13,11,57,46,15,58.3,11,4,12,7,1,13,15,401,9,60.0,162,272,17
it ITA,Kevin Martins,"MF,DF",Monza,183,2.0,0,1,0.0,0.4,3,6,10,0,0,67.9,2,1,5,4,1,6,4,80,4,66.7,51,49,3
es ESP,Javi Martón,"FW,MF",Athletic Club,53,0.6,0,0,0.0,0.0,0,0,3,0,0,85.7,0,0,0,0,0,0,0,14,0,,6,8,1
me MNE,Adam Marušić,DF,Lazio,2337,26.0,4,0,2.0,0.6,23,84,108,23,10,84.9,13,16,32,20,16,48,61,1433,10,43.5,683,926,20
es ESP,Marvin,"DF,FW",Las Palmas,1038,11.5,0,0,0.2,1.1,29,30,72,5,0,73.7,6,14,25,13,15,40,34,658,2,11.1,309,347,20
gq EQG,Omar Mascarell,MF,Mallorca,1992,22.1,1,0,0.5,0.2,10,75,12,9,2,84.0,3,3,27,13,49,76,59,1189,10,66.7,589,727,30
ma MAR,Adam Masina,DF,Torino,1919,21.3,1,2,0.7,0.3,15,73,10,8,2,84.1,4,6,33,15,27,60,95,1502,6,50.0,853,971,23
it ITA,Patrizio Masini,MF,Genoa,1538,17.1,1,0,0.4,0.2,16,44,27,8,1,76.9,6,4,54,29,15,69,37,878,10,40.0,391,459,36
gr GRE,Giorgos Masouras,"FW,MF",Bochum,1055,11.7,2,1,3.9,1.1,26,19,82,30,15,70.4,10,7,18,10,4,22,3,403,5,35.7,220,260,12
rs SRB,Erhan Mašović,DF,Bochum,910,10.1,1,1,0.6,0.9,1,35,4,7,4,82.7,3,0,14,10,12,26,55,539,0,0.0,290,323,12
fr FRA,Han-Noah Massengo,MF,Auxerre,1046,11.6,0,0,0.4,0.4,13,28,13,6,3,84.7,3,3,17,11,17,34,10,548,10,34.5,345,378,17
ao ANG,Clinton Mata,DF,Lyon,2370,26.3,0,4,0.2,1.4,20,88,23,5,0,88.5,11,14,41,29,46,87,72,1877,14,46.7,1168,1287,27
es ESP,Jaime Mata,"FW,MF",Las Palmas,656,7.3,0,0,2.6,0.1,6,10,48,17,6,67.9,3,3,8,2,3,11,11,270,5,55.6,118,192,20
hr CRO,Igor Matanovic,FW,Eint Frankfurt,312,3.5,1,0,1.1,0.0,2,6,19,12,4,76.0,1,1,2,0,1,3,9,133,3,60.0,78,103,6
sn SEN,Pape Matar Sarr,MF,Tottenham,1913,21.3,3,2,3.7,1.6,33,88,53,34,13,86.4,15,12,49,36,30,79,25,1253,11,36.7,772,872,34
be BEL,Eliot Matazo,MF,Monaco,68,0.8,0,0,0.0,0.1,0,7,3,0,0,85.4,1,0,3,2,1,4,2,54,0,0.0,23,31,0
fr FRA,Jean-Philippe Mateta,FW,Crystal Palace,2648,29.4,14,2,13.5,3.2,45,52,122,68,29,65.1,29,16,18,12,2,20,23,739,20,43.5,400,539,27
rs SRB,Nemanja Matić,MF,Lyon,2010,22.3,0,1,0.1,1.3,35,150,15,2,1,86.9,17,16,42,29,18,60,31,1569,8,61.5,979,1165,13
fr FRA,Rudy Matondo,MF,Auxerre,66,0.7,0,0,0.0,0.0,1,2,1,0,0,91.7,0,0,1,1,0,1,2,29,0,0.0,22,21,4
fr FRA,Chrislain Matsima,DF,Augsburg,2551,28.3,1,1,1.8,0.3,14,84,13,14,2,86.0,5,7,31,20,52,83,163,1669,7,58.3,910,989,10
fr FRA,Jean Mattéo Bahoya,"MF,FW",Eint Frankfurt,921,10.2,2,3,1.9,1.7,24,28,93,10,3,74.3,18,11,29,18,4,33,10,475,17,56.7,267,293,9
uy URU,Alan Matturro,DF,Genoa,900,10.0,0,0,0.2,0.2,12,15,9,4,3,78.0,3,4,11,6,14,25,38,458,3,60.0,218,260,10
nl NED,Azor Matusiwa,MF,Rennes,2078,23.1,1,3,1.2,1.8,19,134,26,11,2,87.1,17,18,64,39,34,98,52,1358,17,77.3,619,818,29
fr FRA,Neal Maupay,FW,Marseille,1042,11.6,4,4,4.1,2.2,12,37,81,19,10,84.2,13,12,9,4,2,11,0,386,6,42.9,201,300,10
br BRA,Maurides,FW,St. Pauli,2,0.0,0,0,0.0,0.0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,2,0,,1,2,0
eng ENG,Stephy Mavididi,FW,Leicester City,1615,17.9,4,1,1.8,2.6,91,57,138,26,7,75.0,22,26,34,19,11,45,15,863,35,36.8,583,623,18
gr GRE,Konstantinos Mavropanos,DF,West Ham,2045,22.7,0,0,1.5,0.5,17,61,2,18,5,86.3,5,4,35,24,40,75,126,1532,9,52.9,864,1008,17
fr FRA,Christian Mawissa,DF,Monaco,1501,16.7,0,0,0.1,0.0,13,44,10,1,1,87.5,1,0,42,29,26,68,48,1138,10,35.7,718,768,19
de GER,Keke Maximilian Topp,"FW,MF",Werder Bremen,252,2.8,2,2,1.0,2.0,10,9,27,7,4,54.5,10,5,3,1,1,4,4,135,3,33.3,81,104,8
es ESP,Borja Mayoral,FW,Getafe,1114,12.4,5,1,3.4,0.9,10,13,43,19,8,77.6,8,2,5,4,2,7,6,366,6,30.0,209,251,9
fr FRA,Senny Mayulu,MF,Paris S-G,808,9.0,2,2,2.9,2.1,29,46,56,25,8,87.8,12,14,25,16,5,30,12,592,15,45.5,341,438,20
ma MAR,Noussair Mazraoui,DF,Manchester Utd,2838,31.5,0,1,0.7,1.5,42,115,58,13,3,85.7,20,20,115,68,34,149,95,2139,26,54.2,1172,1289,38
it ITA,Andrea Mazza,GK,Monza,8,0.1,0,0,0.0,0.0,0,0,0,0,0,85.7,0,0,0,0,0,0,0,7,0,,5,4,0
it ITA,Luca Mazzitelli,MF,Como,335,3.7,1,1,0.2,0.6,2,27,14,7,3,79.2,6,4,9,6,3,12,10,235,4,80.0,132,170,9
it ITA,Pasquale Mazzocchi,"DF,FW",Napoli,702,7.8,0,0,0.3,0.4,20,23,43,3,1,80.3,5,8,15,7,5,20,25,385,10,58.8,206,228,9
be BEL,Samuel Mbangula,FW,Juventus,709,7.9,3,3,0.6,1.4,25,17,44,9,5,85.5,15,10,15,10,3,18,4,349,9,33.3,229,270,6
fr FRA,Ethan Mbappé,"MF,FW",Lille,222,2.5,0,0,1.1,1.5,6,8,32,11,4,75.5,6,5,6,2,1,7,0,177,3,37.5,107,136,5
fr FRA,Kylian Mbappé,FW,Real Madrid,2907,32.3,31,3,25.9,7.7,150,140,386,152,75,82.9,51,52,8,5,1,9,1,1572,83,44.4,1065,1355,25
fr FRA,Ibrahim Mbaye,"FW,MF",Paris S-G,340,3.8,1,1,1.8,1.1,15,9,54,12,7,86.5,3,3,4,2,2,6,2,198,5,31.3,161,170,6
cm CMR,Bryan Mbeumo,FW,Brentford,3414,37.9,20,7,12.3,8.3,130,141,351,79,34,66.1,70,59,49,31,14,63,55,1781,52,46.8,1077,1204,25
eng ENG,James Mcatee,"MF,FW",Manchester City,349,3.9,3,0,2.8,0.5,7,7,32,12,4,80.0,3,2,5,2,2,7,1,168,2,28.6,96,122,6
ie IRL,Kasey McAteer,FW,Leicester City,852,9.5,1,1,1.0,0.7,19,14,71,13,7,72.6,9,6,23,16,5,28,15,379,6,24.0,224,243,18
sct SCO,Oliver McBurnie,FW,Las Palmas,1837,20.4,3,6,4.8,2.8,7,27,75,32,12,65.9,24,7,15,7,6,21,24,605,16,47.1,269,426,32
eng ENG,Alex McCarthy,GK,Southampton,450,5.0,0,0,0.0,0.0,0,0,0,0,0,75.0,0,0,0,0,0,0,1,173,0,,100,88,0
sct SCO,John McGinn,"MF,FW",Aston Villa,2223,24.7,1,4,3.1,3.5,32,103,87,31,5,81.9,31,29,33,24,14,47,18,1072,20,42.6,581,744,43
sct SCO,Scott McKenna,DF,Las Palmas,2466,27.4,0,0,1.1,0.7,11,45,3,10,0,86.7,4,1,21,13,9,30,163,1745,3,100.0,912,1140,13
us USA,Weston McKennie,"MF,DF",Juventus,2310,25.7,2,4,2.9,3.6,28,101,153,22,8,83.1,32,22,33,12,14,47,37,1350,20,58.8,719,911,32
us USA,Mark McKenzie,DF,Toulouse,2496,27.7,1,1,1.4,0.5,10,97,5,8,2,86.1,4,0,52,31,22,74,141,1648,4,44.4,878,969,30
eng ENG,Dwight McNeil,"MF,FW",Everton,1371,15.2,4,6,1.1,5.2,38,69,80,25,10,74.5,37,36,13,8,6,19,2,748,24,53.3,443,510,6
sct SCO,Scott McTominay,MF,Manchester Utd,19,0.2,0,0,0.1,0.0,0,1,2,1,0,100.0,0,0,0,0,0,0,1,14,0,0.0,10,9,0
sct SCO,Scott McTominay,MF,Napoli,2938,32.6,12,4,7.4,2.7,56,112,131,76,33,84.1,26,22,43,25,24,67,51,1314,39,44.3,726,944,45
hr CRO,Jakov Medić,DF,Bochum,1603,17.8,1,0,0.9,0.2,2,27,3,14,3,87.4,3,4,13,11,22,35,111,975,2,66.7,498,544,10
ar ARG,Facundo Medina,DF,Lens,2543,28.3,0,1,1.8,2.0,46,174,42,27,3,87.6,24,30,44,29,32,76,70,2176,10,37.0,1328,1514,29
eng ENG,Ben Mee,DF,Brentford,183,2.0,0,0,0.0,0.0,3,11,2,0,0,77.5,0,0,2,2,4,6,7,138,0,,78,86,5
eng ENG,Jayden Meghoma,DF,Brentford,5,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,3,0,,1,2,0
dk DEN,Henrik Meister,FW,Rennes,63,0.7,1,0,0.1,0.3,2,1,4,2,1,78.6,2,0,2,0,1,3,0,31,0,,12,14,3
ci CIV,Bamo Meïté,DF,Montpellier,424,4.7,0,0,0.0,0.0,1,7,1,1,0,88.4,0,0,5,3,4,9,14,210,1,50.0,99,142,8
ci CIV,Bamo Meïté,DF,Marseille,26,0.3,0,0,0.0,0.0,0,0,0,0,0,92.9,0,0,0,0,0,0,1,31,0,0.0,21,24,1
fr FRA,Mohamed Meité,FW,Rennes,544,6.0,2,0,2.5,0.6,8,6,37,15,5,66.0,5,3,2,0,0,2,5,155,1,9.1,100,126,14
es ESP,Mateo Mejía,FW,Sevilla,11,0.1,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0.0,1,1,0
dz ALG,Farid El Melali,FW,Angers,1893,21.0,2,3,3.6,3.1,62,43,113,46,14,69.9,25,14,28,16,16,44,12,842,52,43.7,472,517,21
it ITA,Filippo Melegoni,"MF,FW",Genoa,89,1.0,0,1,0.0,0.5,0,1,2,1,0,56.3,1,1,1,1,0,1,2,27,1,50.0,13,15,0
br BRA,Arthur Melo,MF,Girona,941,10.5,0,0,0.2,0.2,24,70,17,6,1,92.4,5,4,25,11,8,33,12,806,8,57.1,539,625,16
pt POR,Nuno Mendes,DF,Paris S-G,1676,18.6,1,3,2.2,5.0,58,127,108,21,9,86.9,30,34,30,19,18,48,37,1701,31,58.5,990,1215,13
es ESP,Brais Méndez,MF,Real Sociedad,1531,17.0,3,2,3.5,2.0,32,91,86,28,9,77.9,23,13,24,13,7,31,16,1020,14,28.0,554,744,41
sn SEN,Antoine Mendy,DF,Nice,825,9.2,0,0,0.6,0.1,12,35,15,9,1,81.1,2,7,30,21,8,38,29,595,5,41.7,314,365,13
fr FRA,Ferland Mendy,DF,Real Madrid,1005,11.2,0,1,0.0,0.5,12,36,40,0,0,93.9,3,1,17,14,9,26,8,739,3,50.0,447,535,5
sn SEN,Nampalys Mendy,MF,Lens,588,6.5,0,1,0.2,0.1,2,28,3,3,0,89.7,1,2,15,8,9,24,8,357,1,25.0,204,245,11
fr FRA,Nobel Mendy,DF,Betis,108,1.2,0,0,0.0,0.0,0,3,0,0,0,86.8,0,0,0,0,4,4,10,71,0,,35,38,1
gh GHA,Gideon Mensah,DF,Auxerre,2280,25.3,0,1,0.2,2.6,52,93,101,4,1,79.9,22,26,68,45,50,118,83,1627,29,53.7,880,888,33
it ITA,Alex Meret,GK,Napoli,3005,33.4,0,0,0.0,0.0,0,1,0,0,0,85.9,0,0,0,0,0,0,16,1290,0,,775,769,1
es ESP,Mikel Merino,"MF,FW",Arsenal,1586,17.6,7,2,5.9,2.0,11,69,94,38,13,78.2,17,24,46,28,15,61,26,783,9,39.1,388,504,41
fr FRA,Quentin Merlin,DF,Marseille,1589,17.7,1,3,2.1,3.0,40,86,169,26,9,82.4,25,27,22,17,14,36,17,1296,4,21.1,732,924,11
es ESP,Víctor Meseguer,MF,Valladolid,418,4.6,0,0,0.7,0.0,2,22,22,6,0,78.3,1,1,10,6,2,12,4,234,1,25.0,100,151,8
fr FRA,Rafik Messali,DF,Toulouse,456,5.1,0,1,0.3,1.0,13,21,29,4,0,73.1,11,8,15,8,10,25,12,298,4,44.4,155,176,9
br BRA,Junior Messias,"MF,FW",Genoa,847,9.4,1,1,2.4,0.7,32,32,49,17,5,63.7,8,8,13,7,6,19,20,397,10,22.7,226,251,8
au AUS,Connor Metcalfe,"MF,FW",St. Pauli,358,4.0,0,0,0.7,0.2,6,8,11,6,3,64.4,3,2,2,0,3,5,8,156,3,50.0,58,80,5
ee EST,Karol Mets,DF,St. Pauli,900,10.0,0,0,0.1,0.2,5,54,2,3,0,83.4,3,3,13,8,12,25,60,736,0,0.0,343,466,7
be BEL,Thomas Meunier,DF,Lille,1928,21.4,2,0,1.9,0.7,64,136,148,28,11,80.4,13,31,53,38,34,87,64,1736,14,50.0,899,1122,27
de GER,Alexander Meyer,GK,Dortmund,180,2.0,0,0,0.0,0.1,0,0,0,0,0,65.1,1,0,0,0,0,0,0,87,0,,51,42,0
eng ENG,Shumaira Mheuka,MF,Chelsea,1,0.0,0,0,0.1,0.0,0,0,0,1,1,,0,0,0,0,0,0,0,2,0,,1,2,0
fr FRA,Lucas Michal,"FW,MF",Monaco,117,1.3,0,0,0.2,0.9,4,4,11,3,1,81.8,1,2,5,3,1,6,2,64,1,25.0,38,44,5
at AUT,Florian Micheler,MF,Hoffenheim,32,0.4,0,0,0.0,0.0,1,1,1,0,0,91.7,0,0,0,0,0,0,0,12,1,100.0,11,10,1
es ESP,Miguel,FW,Leganés,1724,19.2,1,3,4.9,1.4,14,16,90,33,14,58.6,7,5,16,7,4,20,23,472,8,22.2,258,327,23
ro ROU,Valentin Mihaila,"FW,MF",Parma,1288,14.3,0,3,2.4,1.2,25,41,72,31,11,75.4,17,17,29,15,8,37,6,582,10,37.0,332,389,17
ge GEO,Georges Mikautadze,FW,Lyon,1449,16.1,11,6,10.3,4.3,37,54,140,52,22,76.5,21,14,7,6,4,11,6,653,17,28.8,402,510,7
rs SRB,Igor Miladinović,"FW,MF",Saint-Étienne,26,0.3,0,0,0.0,0.0,0,1,1,0,0,80.0,0,0,0,0,1,1,1,20,0,0.0,10,14,0
rs SRB,Nikola Milenković,DF,Nott'ham Forest,3330,37.0,5,2,4.0,1.1,3,51,6,29,8,82.3,9,2,51,29,27,78,209,1412,1,100.0,547,727,20
eng ENG,Lewis Miley,MF,Newcastle Utd,313,3.5,1,0,0.5,0.0,2,17,8,3,2,88.0,1,4,14,11,2,16,5,235,1,33.3,112,163,3
rs SRB,Vanja Milinković-Savić,GK,Torino,3330,37.0,0,0,0.0,0.1,0,0,0,0,0,68.0,3,6,1,0,0,1,18,1737,0,,1112,889,1
br BRA,Éder Militão,DF,Real Madrid,938,10.4,1,1,0.6,0.5,7,46,1,10,3,89.3,6,3,19,17,12,31,35,819,5,62.5,533,603,18
es ESP,Luis Milla,MF,Getafe,2875,31.9,1,4,1.8,3.9,32,152,30,31,7,73.5,70,26,61,40,24,85,28,1802,21,53.8,799,890,38
es ESP,Pere Milla,"MF,FW",Espanyol,456,5.1,3,0,1.5,0.3,9,13,27,11,5,58.8,5,5,6,2,3,9,5,239,2,28.6,117,140,5
fr FRA,Enzo Millot,"MF,FW",Stuttgart,1843,20.5,6,5,7.6,3.1,44,118,123,43,17,84.8,23,30,30,13,13,43,6,1397,31,46.3,848,1067,25
eng ENG,James Milner,MF,Brighton,170,1.9,0,0,0.2,0.2,1,10,10,2,0,74.3,4,1,5,2,2,7,2,93,1,100.0,47,59,3
kr KOR,Kim Min-jae,DF,Bayern Munich,2283,25.4,2,0,1.6,0.3,16,181,5,7,5,92.5,6,2,35,20,37,72,91,2764,3,60.0,1644,2098,25
co COL,Yerry Mina,DF,Cagliari,2569,28.5,1,0,2.3,0.3,17,76,9,26,8,85.9,4,6,66,32,37,103,163,1797,3,37.5,948,969,40
jp JPN,Takumi Minamino,"MF,FW",Monaco,2231,24.8,6,3,8.9,6.6,51,114,193,57,20,70.7,40,33,33,19,10,43,20,1016,12,30.0,567,709,31
fr FRA,Lucas Mincarelli,DF,Montpellier,715,7.9,1,0,0.6,0.3,15,25,16,7,2,81.5,3,2,17,10,9,26,27,462,1,20.0,255,297,5
eng ENG,Tyrone Mings,DF,Aston Villa,1120,12.4,0,0,0.8,0.2,7,40,1,9,1,88.2,3,5,7,6,7,14,61,794,2,66.7,484,532,4
es ESP,Óscar Mingueza,"MF,DF",Celta Vigo,2729,30.3,4,6,1.5,5.6,69,200,194,33,10,77.0,35,69,38,24,22,60,46,2460,25,41.7,1386,1692,24
kr KOR,Kim Minsu,"MF,FW",Girona,22,0.2,0,0,0.0,0.0,0,0,2,0,0,90.0,0,0,1,0,0,1,0,18,0,0.0,12,15,0
gm GAM,Yankuba Minteh,"FW,MF",Brighton,1838,20.4,6,4,4.1,5.0,90,48,201,34,16,62.5,29,36,48,35,11,59,31,836,46,46.9,481,511,21
mk MKD,Bojan Miovski,FW,Girona,869,9.7,2,1,2.7,0.2,4,4,33,14,4,76.1,4,1,7,5,2,9,7,182,3,42.9,88,121,13
es ESP,Rafa Mir,"FW,MF",Valencia,753,8.4,1,2,3.0,0.7,10,20,28,27,7,72.0,4,4,12,6,5,17,9,294,2,14.3,145,203,13
es ESP,Juan Miranda,DF,Bologna,2277,25.3,0,6,0.7,6.1,34,163,88,22,5,75.7,57,52,32,18,23,55,50,2080,7,35.0,1047,1270,26
it ITA,Fabio Miretti,"MF,FW",Genoa,1677,18.6,3,3,3.1,2.0,33,54,100,24,6,74.4,22,13,28,15,7,35,13,847,25,34.2,461,549,23
eng ENG,Tyrick Mitchell,DF,Crystal Palace,3092,34.4,0,5,1.3,6.4,63,70,171,12,3,72.0,41,33,91,55,19,110,108,1754,16,42.1,820,902,23
jp JPN,Kaoru Mitoma,"FW,MF",Brighton,2603,28.9,10,4,9.2,4.6,146,89,291,57,27,75.8,37,36,45,27,14,59,10,1375,52,39.7,830,966,40
de GER,Maximilian Mittelstädt,DF,Stuttgart,2469,27.4,1,7,0.9,4.7,62,182,155,21,4,83.4,47,61,79,54,47,126,96,2385,21,55.3,1251,1541,24
jp JPN,Koji Miyoshi,"FW,MF",Bochum,464,5.2,1,0,1.1,0.8,11,15,23,12,5,59.2,5,4,8,5,2,10,2,201,5,35.7,120,124,10
am ARM,Henrikh Mkhitaryan,MF,Inter,2328,25.9,1,4,1.5,2.7,72,199,93,23,2,87.4,29,53,43,24,16,59,41,1747,7,26.9,1036,1301,33
pl POL,Jakub Moder,MF,Brighton,11,0.1,0,0,0.0,0.2,2,4,0,0,0,81.8,3,1,1,0,0,1,3,27,0,,13,14,0
ao ANG,Rui Modesto,"DF,MF",Udinese,608,6.8,0,1,0.5,0.8,16,22,43,3,2,74.5,14,6,16,12,8,24,13,388,3,37.5,166,212,10
hr CRO,Luka Modrić,MF,Real Madrid,1827,20.3,2,6,1.6,7.0,62,208,63,22,6,87.6,66,34,31,20,27,58,17,2124,14,58.3,1419,1649,23
de GER,Max Moerstedt,FW,Hoffenheim,451,5.0,0,0,0.8,0.6,6,10,36,12,4,67.0,7,2,5,5,0,5,5,159,1,25.0,84,125,6
ng NGA,Terem Moffi,FW,Nice,58,0.6,1,0,2.3,0.0,1,1,4,6,4,60.0,0,0,0,0,0,0,0,17,1,100.0,9,15,1
eg EGY,Mostafa Mohamed,FW,Nantes,1252,13.9,5,0,5.5,0.4,11,20,50,43,16,64.8,6,6,18,9,10,28,27,452,12,46.2,239,285,32
co COL,Johan Mojica,DF,Mallorca,2755,30.6,1,2,0.9,4.1,66,130,142,17,3,74.2,40,53,35,23,26,61,84,1949,33,37.1,1024,1115,18
fr FRA,David Mokwa,"DF,FW",Hoffenheim,22,0.2,0,0,0.3,0.0,0,0,0,2,2,25.0,0,0,1,0,0,1,0,11,1,100.0,5,5,1
es ESP,Alberto Moleiro,"FW,MF",Las Palmas,2714,30.2,6,1,5.6,3.3,97,116,179,68,24,81.3,41,29,27,12,18,45,8,1416,64,42.7,946,1097,31
ar ARG,Nahuel Molina,DF,Atlético Madrid,1590,17.7,0,3,0.8,1.5,35,61,96,9,1,79.9,13,19,44,19,13,57,53,1366,15,50.0,782,883,13
fr FRA,Florent Mollet,"MF,FW",Nantes,242,2.7,0,0,0.3,0.3,3,9,12,6,2,78.3,6,3,2,2,1,3,4,125,2,66.7,85,84,2
es ESP,Jon Moncayola,MF,Osasuna,2099,23.3,0,0,1.6,3.7,25,107,51,21,9,74.4,33,25,70,41,11,81,20,1198,4,33.3,571,727,34
,Jeremy Monga,"FW,MF",Leicester City,112,1.2,0,0,0.2,0.0,6,3,10,3,1,62.1,1,1,2,1,0,2,1,51,2,28.6,37,32,0
ar ARG,Gonzalo Montiel,"DF,MF",Sevilla,113,1.3,0,0,0.0,0.0,3,2,3,1,0,87.2,0,1,4,2,2,6,11,99,0,0.0,37,57,3
it ITA,Lorenzo Montipò,GK,Hellas Verona,3240,36.0,0,0,0.0,0.0,0,1,0,0,0,48.7,0,0,1,0,0,1,24,1170,0,,508,412,0
eng ENG,Mikey Moore,FW,Tottenham,366,4.1,0,1,0.2,0.3,12,9,40,3,0,69.8,3,5,2,1,1,3,4,142,2,11.8,106,107,3
es ESP,Álvaro Morata,"FW,MF",Milan,1099,12.2,5,0,3.9,0.8,18,26,63,27,10,75.4,7,3,16,10,5,21,5,383,6,35.3,215,292,25
br BRA,Morato,DF,Nott'ham Forest,907,10.1,0,0,0.2,0.0,1,19,1,2,1,77.0,0,0,22,14,10,32,78,457,2,100.0,164,206,11
pt POR,Diego Moreira,"DF,MF",Strasbourg,2568,28.5,2,7,2.0,7.3,99,87,245,25,8,77.5,30,37,44,28,35,79,65,1701,57,45.6,953,1098,26
es ESP,Alberto Moreno,DF,Como,1727,19.2,0,0,0.4,1.2,23,81,58,14,6,82.5,19,23,25,11,14,39,40,1224,3,42.9,722,805,17
es ESP,Álex Moreno,"DF,MF",Nott'ham Forest,955,10.6,0,1,0.2,1.3,26,34,34,6,0,72.0,8,9,25,18,15,40,43,559,8,38.1,229,258,12
es ESP,Gerard Moreno,FW,Villarreal,721,8.0,3,2,4.2,3.6,19,53,60,23,9,77.0,17,15,7,4,2,9,8,404,18,58.1,243,324,10
ar ARG,Matias Moreno,DF,Fiorentina,144,1.6,0,0,0.0,0.0,1,6,1,0,0,81.7,1,2,8,8,1,9,9,98,3,100.0,55,55,4
es ESP,Xavier Moreno,FW,Valladolid,45,0.5,0,0,0.0,0.0,1,1,5,0,0,23.1,0,0,0,0,0,0,1,17,0,0.0,8,9,0
es ESP,Tete Morente,"FW,MF",Lecce,2021,22.5,3,2,2.9,1.6,48,102,144,41,13,74.8,25,23,27,17,14,41,31,983,30,54.5,560,643,26
es ESP,Mateu Morey,DF,Mallorca,741,8.2,0,0,0.4,0.3,17,17,32,3,1,77.2,4,3,22,18,15,37,32,502,9,52.9,254,272,17
gn GUI,Ilaix Moriba,MF,Celta Vigo,2132,23.7,1,1,1.7,1.5,34,119,64,34,11,85.7,20,19,68,42,14,82,33,1305,15,30.6,769,905,32
es ESP,Manu Morlanes,MF,Mallorca,1338,14.9,0,0,0.6,0.3,16,88,39,11,1,88.9,10,10,43,27,24,67,16,845,3,37.5,459,534,15
hr CRO,Nikola Moro,MF,Bologna,1208,13.4,0,2,0.5,0.8,17,93,21,14,2,80.2,20,10,35,27,13,48,18,923,7,58.3,486,592,22
es ESP,Raúl Moro,"MF,FW",Valladolid,2341,26.0,4,5,4.1,5.7,112,81,190,46,16,64.9,44,38,22,13,10,32,20,1050,57,43.2,607,713,4
eg EGY,Sam Morsy,MF,Ipswich Town,2751,30.6,1,1,0.4,1.2,22,120,13,13,3,86.4,24,17,68,41,29,97,47,1683,17,58.6,852,1137,48
br BRA,Gabriel Moscardo,"MF,DF",Reims,84,0.9,0,0,0.2,0.0,1,3,3,2,0,78.9,0,2,3,1,0,3,1,54,1,50.0,29,36,1
es ESP,Cristhian Mosquera,DF,Valencia,3319,36.9,1,0,0.4,0.0,35,123,6,5,2,90.5,0,1,56,36,35,91,128,2367,5,55.6,1401,1583,14
co COL,Daniel Mosquera,FW,Hellas Verona,1375,15.3,5,1,6.6,1.3,17,25,83,57,15,68.7,12,4,11,8,2,13,10,509,16,64.0,250,352,44
